Index,Pitch,Yaw,Roll,AngleAmout,duration
96,-7,1,0,251,5
97,5,-8,0,-266,5
98,-9,-3,0,254,5
99,-5,-7,0,236,5
100,-2,-8,0,-266,5
101,3,4,0,256,5
102,9,3,0,278,5
103,-5,-10,0,0,4
104,2,-6,0,243,5
105,-6,-2,0,241,5
106,-4,-4,0,279,5
107,-5,-8,0,-256,5
108,-7,3,0,-272,5
109,-9,-6,0,251,5
110,9,5,0,-266,5
111,-7,-8,0,254,5
112,9,-1,0,236,5
113,-9,-1,0,-266,5
114,-6,-9,0,256,5
115,-4,-3,0,278,5
116,8,-4,0,0,4
117,-10,-8,0,243,5
118,-4,7,0,241,5
119,3,-7,0,279,5
120,0,8,0,-256,5
121,-7,-6,0,-272,5
122,-2,7,0,251,5
123,-9,-3,0,-266,5
124,-4,-6,0,254,5
125,-3,-8,0,236,5
126,7,1,0,-266,5
127,-3,9,0,256,5
128,4,-6,0,278,5
129,-1,-9,0,0,4
130,4,-8,0,243,5
131,4,5,0,241,5
132,-4,-4,0,279,5
133,-2,-3,0,-256,5
134,9,7,0,-272,5
135,5,-2,0,251,5
136,4,1,0,-266,5
137,-5,-3,0,254,5
138,-3,6,0,236,5
139,7,9,0,-266,5
140,8,-3,0,256,5
141,-3,4,0,278,5
142,-2,-4,0,0,4
143,4,-6,0,243,5
144,-7,-9,0,241,5
145,-8,3,0,279,5
146,1,-3,0,-256,5
147,-7,4,0,-272,5
148,-6,8,0,251,5
149,3,8,0,-266,5
150,-4,-5,0,254,5
151,-7,2,0,236,5
152,-8,3,0,-266,5
153,8,4,0,256,5
154,-4,-2,0,278,5
155,3,5,0,0,4
156,7,-5,0,243,5
157,1,8,0,241,5
158,4,-1,0,279,5
159,-5,-10,0,-256,5
160,9,5,0,-272,5
161,4,-10,0,251,5
162,0,8,0,-266,5
163,8,2,0,254,5
164,-10,0,0,236,5
165,7,-9,0,-266,5
166,4,-1,0,256,5
167,-8,-1,0,278,5
168,1,-9,0,0,4
169,-6,5,0,243,5
170,8,-2,0,241,5
171,-9,3,0,279,5
172,3,-10,0,-256,5
173,-7,-10,0,-272,5
174,4,3,0,251,5
175,-6,7,0,-266,5
176,4,-5,0,254,5
177,-2,-1,0,236,5
178,-4,-2,0,-266,5
179,-9,-4,0,256,5
180,-10,-2,0,278,5
181,6,1,0,0,4
182,4,-9,0,243,5
183,-2,9,0,241,5
184,9,3,0,279,5
185,-8,1,0,-256,5
186,-6,-7,0,-272,5
187,-6,6,0,251,5
188,7,-3,0,-266,5
189,3,-5,0,254,5
190,-8,-7,0,236,5
191,2,-1,0,-266,5
192,7,-5,0,256,5
193,3,-4,0,278,5
194,-2,7,0,0,4
195,-2,-1,0,243,5
196,-1,6,0,241,5
197,-2,-9,0,279,5
198,8,-6,0,-256,5
199,-1,9,0,-272,5
200,-6,1,0,251,5
201,4,7,0,-266,5
202,9,-3,0,254,5
203,-2,7,0,236,5
204,-10,-10,0,-266,5
205,3,0,0,256,5
206,-10,6,0,278,5
207,5,7,0,0,4
208,-3,-7,0,243,5
209,8,-5,0,241,5
210,9,-1,0,279,5
211,-1,5,0,-256,5
212,-10,-10,0,-272,5
213,7,3,0,251,5
214,-7,-9,0,-266,5
215,-4,4,0,254,5
216,-6,-3,0,236,5
217,8,6,0,-266,5
218,2,8,0,256,5
219,1,9,0,278,5
220,-8,-9,0,0,4
221,-10,8,0,243,5
222,5,-7,0,241,5
223,-10,5,0,279,5
224,1,6,0,-256,5
225,4,7,0,-272,5
226,-1,-4,0,251,5
227,9,-6,0,-266,5
228,2,-7,0,254,5
229,-8,-9,0,236,5
230,-6,-1,0,-266,5
231,1,7,0,256,5
232,-1,2,0,278,5
233,-3,-9,0,0,4
234,2,8,0,243,5
235,0,-1,0,241,5
236,-4,-6,0,279,5
237,6,3,0,-256,5
238,-4,9,0,-272,5
239,-2,9,0,251,5
240,0,4,0,-266,5
241,-4,3,0,254,5
242,-5,-4,0,236,5
243,7,2,0,-266,5
244,6,-7,0,256,5
245,-10,0,0,278,5
246,0,-1,0,0,4
247,-7,5,0,243,5
248,-1,-2,0,241,5
249,6,2,0,279,5
250,3,-3,0,-256,5
251,4,-6,0,-272,5
252,-2,-4,0,251,5
253,2,-9,0,-266,5
254,3,4,0,254,5
255,-10,-1,0,236,5
256,7,-2,0,-266,5
257,1,-10,0,256,5
258,0,6,0,278,5
259,-1,0,0,0,4
