Index,Pitch,Yaw,Roll,AngleAmout,duration
77,5,4,9,0,4
78,-5,9,-2,243,5
79,9,3,4,241,5
80,4,1,-3,279,5
81,9,9,-2,-256,5
82,-9,9,-7,-272,5
83,-5,-7,-2,251,5
84,4,3,3,-266,5
85,-7,-5,-2,254,5
86,-6,-8,5,236,5
87,6,8,2,-266,5
88,-10,-1,-2,256,5
89,3,-10,6,278,5
90,1,5,-6,0,4
91,-7,4,-7,243,5
92,-1,8,1,241,5
93,-9,5,-9,279,5
94,4,-4,-8,-256,5
95,3,1,8,-272,5
96,3,-1,6,251,5
97,-9,-3,-8,-266,5
98,8,-6,-4,254,5
99,2,1,-4,236,5
100,-7,-7,4,-266,5
101,4,-9,-3,256,5
102,3,8,-1,278,5
103,5,7,-8,0,4
104,2,-1,-10,243,5
105,4,2,2,241,5
106,3,3,-9,279,5
107,7,-9,-5,-256,5
108,4,-1,-8,-272,5
109,-4,-9,-6,251,5
110,6,7,-7,-266,5
111,-5,-9,3,254,5
112,6,-2,4,236,5
113,-5,-3,2,-266,5
114,8,-5,3,256,5
115,4,3,-8,278,5
116,-7,-6,-6,0,4
117,1,-2,-6,243,5
118,-10,-9,-6,241,5
119,1,3,-1,279,5
120,1,-8,-10,-256,5
121,-6,2,-4,-272,5
122,7,2,6,251,5
123,-3,4,5,-266,5
124,6,-1,-5,254,5
125,-10,1,-9,236,5
126,-2,-1,9,-266,5
127,-9,-7,-7,256,5
128,5,-4,-10,278,5
129,1,-1,2,0,4
130,-2,7,-3,243,5
131,-10,5,4,241,5
132,9,-2,-3,279,5
133,3,-1,-4,-256,5
134,9,8,2,-272,5
135,5,-6,-4,251,5
136,-5,-10,-5,-266,5
137,4,-4,-8,254,5
138,-8,8,-1,236,5
139,-1,1,7,-266,5
140,-9,8,-7,256,5
141,2,-2,-9,278,5
142,9,8,-7,0,4
143,-5,-3,1,243,5
144,-3,-5,-4,241,5
145,-5,-1,-4,279,5
146,-3,6,8,-256,5
147,-5,-6,3,-272,5
148,8,2,-1,251,5
149,-1,-2,3,-266,5
150,-1,9,4,254,5
151,7,1,-2,236,5
152,-7,-7,6,-266,5
153,-2,4,-10,256,5
154,-5,-1,-8,278,5
155,-10,-9,1,0,4
156,7,-3,-4,243,5
157,-2,9,6,241,5
158,-2,9,7,279,5
159,-6,4,-1,-256,5
160,8,-3,8,-272,5
161,-9,-4,7,251,5
162,7,-9,-3,-266,5
163,-3,-9,-8,254,5
164,-1,-10,8,236,5
165,7,1,-7,-266,5
166,4,2,1,256,5
167,-8,9,1,278,5
168,1,6,-9,0,4
169,2,2,-7,243,5
170,-6,-9,-4,241,5
171,2,-5,-5,279,5
172,-6,5,7,-256,5
173,9,-3,7,-272,5
174,6,1,-8,251,5
175,-1,-9,-2,-266,5
176,-6,3,3,254,5
177,-7,-5,-3,236,5
178,1,3,-8,-266,5
179,3,-5,8,256,5
180,9,2,-6,278,5
181,-6,9,-1,0,4
182,3,-8,-10,243,5
183,-1,6,6,241,5
184,5,-3,8,279,5
185,9,2,6,-256,5
186,-1,9,6,-272,5
187,-10,2,8,251,5
188,-2,-8,-8,-266,5
189,5,-9,5,254,5
190,7,4,-2,236,5
191,-10,4,-9,-266,5
192,-2,8,-3,256,5
193,-7,1,2,278,5
194,-8,-10,1,0,4
195,8,3,3,243,5
196,9,-8,5,241,5
197,-10,4,8,279,5
198,-3,-9,-6,-256,5
199,-4,8,1,-272,5
200,8,2,-10,251,5
201,7,6,-7,-266,5
202,2,-8,5,254,5
203,4,-1,-5,236,5
204,5,-10,-2,-266,5
205,-8,2,-10,256,5
206,-10,1,-9,278,5
207,-2,-8,3,0,4
208,-7,-7,7,243,5
209,1,-6,3,241,5
210,1,-3,-5,279,5
211,-2,5,-10,-256,5
212,9,7,2,-272,5
213,2,2,-4,251,5
214,-2,5,8,-266,5
215,1,2,-1,254,5
216,-4,-4,3,236,5
217,1,7,8,-266,5
218,-2,-4,-7,256,5
219,3,3,-6,278,5
220,-7,9,-9,0,4
221,2,-10,9,243,5
222,4,-1,4,241,5
223,1,-6,3,279,5
224,5,-2,-1,-256,5
225,5,8,7,-272,5
226,-4,-7,1,251,5
227,-8,8,-8,-266,5
228,-10,5,-2,254,5
229,-10,5,-9,236,5
230,2,-3,-8,-266,5
231,9,8,2,256,5
232,2,2,1,278,5
233,-1,-4,3,0,4
234,-4,-3,8,243,5
235,1,-5,7,241,5
236,-1,7,-8,279,5
237,6,-2,-4,-256,5
238,9,-5,1,-272,5
239,-3,-1,-3,251,5
240,1,-4,4,-266,5
241,-5,1,-8,254,5
242,-7,1,9,236,5
243,7,-3,8,-266,5
244,-1,2,-4,256,5
245,8,-1,-3,278,5
246,7,-10,-3,0,4
247,3,9,-7,243,5
248,-2,-4,9,241,5
249,-4,4,-10,279,5
250,9,-10,6,-256,5
251,-3,-1,1,-272,5
252,6,3,-10,251,5
253,4,-5,-8,-266,5
254,-4,-10,-3,254,5
255,-7,-5,-9,236,5
256,1,5,-6,-266,5
257,-2,8,-4,256,5
258,-7,6,-6,278,5
259,-10,1,-6,0,4
